a52dec 0.7.4-9
acl 2.2.52-3
acpid 2.0.28-1
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alpm-octopi-utils 1.0.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-2
android-file-transfer 3.1-1
android-tools 7.1.1_r13-1
android-udev 20170125-1
archlinux-keyring 20170104-1
aspell 0.60.6.1-5
at 3.1.20-3
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
b43-fwcutter 019-1
babl 0.1.18-1
bash 4.4.012-2
binutils 2.27-1
bison 3.0.4-2
bluez-libs 5.43-2
bmenu 0.4.5-1
boost-libs 1.63.0-1
brandr 0.2-3
btrfs-progs 4.9.1-1
bzip2 1.0.6-6
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.29.1-1
ca-certificates-utils 20160507-1
cairo 1.14.8-1
cairo-perl 1.106-2
cairomm 1.12.2-1
cdparanoia 10.2-5
chromium 56.0.2924.87-1
cifs-utils 6.5-1
clucene 2.3.3.4-9
colord 1.3.4-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-4
confuse 3.0-1
conky 1.10.6-1
coreutils 8.26-1
cpupower 4.10-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 1.7.3-1
curl 7.53.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.16-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhclient 4.3.5-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
ding-libs 0.6.0-1
dmenu 4.6-1
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.76-4
docbook2x 0.8.8-15
dosfstools 4.0-3
dotconf 1.3-4
downgrade 5.4.0-1
e2fsprogs 1.43.4-1
ecryptfs-utils 111-1
elfutils 0.168-1
elinks 0.13-17
emacs 25.1-4
enca 1.19-1
enchant 1.6.1-1
epdfview 0.1.8-8
ethtool 1:4.8-1
exfat-utils 1.2.6-1
exo 0.10.7-2
expat 2.2.0-2
f2fs-tools 1.8.0-1
faad2 2.7-4
fakeroot 1.21-2
feh 2.18.2-1
ffmpeg 1:3.2.4-1
ffmpeg2.8 2.8.11-1
fftw 3.3.6-1
file 5.30-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 51.0.1-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flashplugin 24.0.0.221-1
flex 2.6.3-1
fluxbox 1.3.7-2
fontconfig 2.12.1-4
fontsproto 2.1.3-1
freeglut 3.0.0-1
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
fuseiso 20070708-6
fzf 0.16.5-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-1
gcc-libs 6.3.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdbm 1.12-2
