acpid 2.0.28-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-2
android-file-transfer 3.1-1
android-tools 7.1.1_r13-1
android-udev 20170125-1
at 3.1.20-3
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
b43-fwcutter 019-1
bash 4.4.012-2
binutils 2.27-1
bison 3.0.4-2
bmenu 0.4.5-1
brandr 0.2-3
btrfs-progs 4.9.1-1
bzip2 1.0.6-6
chromium 56.0.2924.87-1
compton 0.1_beta2.5-4
conky 1.10.6-1
coreutils 8.26-1
cpupower 4.10-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 1.7.3-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhclient 4.3.5-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
dmenu 4.6-1
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dnsmasq 2.76-4
dosfstools 4.0-3
dpkg 1.18.18-2
e2fsprogs 1.43.4-1
ecryptfs-utils 111-1
emacs 25.1-4
epdfview 0.1.8-8
ethtool 1:4.8-1
exfat-utils 1.2.6-1
f2fs-tools 1.8.0-1
fakeroot 1.21-2
feh 2.18.2-1
file 5.30-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 51.0.1-1
flashplugin 24.0.0.221-1
flex 2.6.3-1
fluxbox 1.3.7-2
fluxmod-styles 1-5
gawk 4.1.4-2
gcc 6.3.1-1
gcc-libs 6.3.1-1
geany 1.29-1
gettext 0.19.8.1-2
gimp 2.8.18-5
gkrellm 2.3.10-1
gksu 2.0.2-5
glibc 2.24-2
gmrun 0.9.2-6
gnome-screenshot 3.22.0+1+g7568f0e-1
gparted 0.28.1-1
gpicview 0.2.5-3
gpointing-device-settings 1.5.1-5
grep 3.0-1
grub 2.02.rc1-1
gtk-theme-arc-git 654.0af4e07-1
gtk2 2.24.31-1
gvfs 1.30.3-1
gzip 1.8-2
haveged 1.9.1-2
