UNIT FILE                                                              STATE    
proc-sys-fs-binfmt_misc.automount                                      static   
org.freedesktop.hostname1.busname                                      static   
org.freedesktop.import1.busname                                        static   
org.freedesktop.locale1.busname                                        static   
org.freedesktop.login1.busname                                         static   
org.freedesktop.machine1.busname                                       static   
org.freedesktop.network1.busname                                       static   
org.freedesktop.resolve1.busname                                       static   
org.freedesktop.systemd1.busname                                       static   
org.freedesktop.timedate1.busname                                      static   
-.mount                                                                generated
dev-hugepages.mount                                                    static   
dev-mqueue.mount                                                       static   
etc-pacman.d-gnupg.mount                                               static   
home.mount                                                             generated
proc-fs-nfsd.mount                                                     static   
proc-sys-fs-binfmt_misc.mount                                          static   
sys-fs-fuse-connections.mount                                          static   
sys-kernel-config.mount                                                static   
sys-kernel-debug.mount                                                 static   
tmp.mount                                                              static   
var-lib-machines.mount                                                 static   
var-lib-nfs-rpc_pipefs.mount                                           static   
systemd-ask-password-console.path                                      static   
systemd-ask-password-wall.path                                         static   
session-c1.scope                                                       transient
acpid.service                                                          disabled 
adsl.service                                                           disabled 
alsa-restore.service                                                   static   
alsa-state.service                                                     static   
atd.service                                                            enabled  
auth-rpcgss-module.service                                             static   
autovt@.service                                                        enabled  
avahi-daemon.service                                                   disabled 
avahi-dnsconfd.service                                                 disabled 
batterychecker.service                                                 static   
blk-availability.service                                               disabled 
btrfs-scrub@.service                                                   static   
canberra-system-bootup.service                                         disabled 
canberra-system-shutdown-reboot.service                                disabled 
canberra-system-shutdown.service                                       disabled 
colord.service                                                         static   
console-getty.service                                                  disabled 
container-getty@.service                                               static   
cpupower.service                                                       disabled 
cronie.service                                                         enabled  
dbus-org.freedesktop.hostname1.service                                 static   
dbus-org.freedesktop.import1.service                                   static   
dbus-org.freedesktop.locale1.service                                   static   
dbus-org.freedesktop.login1.service                                    static   
dbus-org.freedesktop.machine1.service                                  static   
dbus-org.freedesktop.ModemManager1.service                             enabled  
dbus-org.freedesktop.network1.service                                  disabled 
dbus-org.freedesktop.NetworkManager.service                            enabled  
dbus-org.freedesktop.nm-dispatcher.service                             enabled  
dbus-org.freedesktop.resolve1.service                                  disabled 
dbus-org.freedesktop.timedate1.service                                 static   
dbus.service                                                           static   
debug-shell.service                                                    disabled 
dhclient@.service                                                      disabled 
dhcpcd.service                                                         disabled 
dhcpcd@.service                                                        disabled 
display-manager.service                                                enabled  
dm-event.service                                                       disabled 
dmraid.service                                                         disabled 
dnsmasq.service                                                        disabled 
emergency.service                                                      static   
fancontrol.service                                                     disabled 
fstrim.service                                                         static   
ftpd.service                                                           disabled 
geoclue.service                                                        static   
getty@.service                                                         enabled  
git-daemon@.service                                                    static   
gkrellm.service                                                        disabled 
gpm.service                                                            disabled 
gssproxy.service                                                       disabled 
haveged.service                                                        disabled 
healthd.service                                                        disabled 
initrd-cleanup.service                                                 static   
initrd-parse-etc.service                                               static   
